Row	Meal	Name	Pos
641	P	Crème Chantilly Légère (Auchan)	105906
642	P	Chantilly 11,5% (Bridelight)	105981
643	P	Banane Parfum Chantilly (La Laitière)	106037
644	P	Mélange de Margarine et de Beurre (60% d'Huile de Maïs et 40% de Beurre)	106094
645	P	Mélange de Légumes (Solides et Liquides, en Conserve)	106325
646	P	Mélange de Légumes (Égouttés Solides, en Conserve)	106495
647	P	Mélange de Légumes (Surgelés)	106668
648	P	Soupe de Légumes et de Poulet (avec Volume d'Eau  Égal, en Conserve)	106863
649	P	Soupe de Légumes (Faible en Sodium, avec de l'Eau)	107076
650	P	Pizza à Base de Viande et de Légumes (36 Cm)	107239
651	P	Mélange Montagnard aux Pépites de Chocolat, Noix et Graines (Non Salé)	107425
652	P	Mélange de Légumes (Maïs, Haricots de Lima, Pois, Haricots Verts, Carottes) (sans Sel Ajouté, en Conserve)	107530
653	P	Soupe de Légumes (avec Volume d'Eau Égal, en Conserve)	107710
654	P	Couscous aux Légumes et Son Poulet (Leader Price)	107905
655	P	Couscous (Cuit)	107982
656	P	Couscous Royal (Claude Léger)	108218
657	P	Couscous Volaille et Merguez (Côté Table)	108308
658	P	Couscous aux 9 Légumes (Zapetti)	108370
659	P	Couscous A la Marocaine (Garbit)	108486
660	P	Couscous (Picard)	108595
661	P	Couscous Moyen (Carrefour)	108654
662	P	Couscous Oriental (Weight Watchers)	108709
663	P	Légumes Pour Couscous (Picard)	108787
664	P	Coquillettes (Panzani)	108827
665	P	Coquillettes (Turini)	108864
666	P	Coquillettes (Barilla)	108974
667	P	Coquillettes (Carrefour)	109033
668	P	Galettes de Jambon (Jambon)	109081
669	P	Boeuf Haché (95% de Maigre / 5% de Matières Grasses, Pâté, Cuit, Grillé)	109248
670	P	Boeuf Haché (85% de Maigre / 15% de Matières Grasses, Pâté, Cuit, Grillé)	109472
671	P	Kiri (Kiri)	109697
672	P	Kiri à la Crème de Lait (20g) (Kiri)	109760
673	P	Kiri Goûter (Kiri)	109824
674	P	Kiri à la Crème de Lait  (18g) (Kiri)	109883
675	P	Biscotte	109953
676	P	Biscotte (Auchan)	110186
677	P	La Biscotte (Heudebert)	110237
678	P	Biscottes 6 Céréales (Heudebert)	110345
679	P	Biscotte (Brioche Pasquier)	110453
680	P	Biscottes au Froment (Super U)	110559
681	P	Biscottes Complètes (Carrefour Bio)	110626
682	P	Biscotte Tradition (Pelletier)	110742
683	P	Biscottes Fibres + (Heudebert)	110840
684	P	Biscottes (Lidl)	110956
685	P	Fromage Blanc	111043
686	P	Fromage Blanc 0% (Délisse)	111257
687	P	Fromage Blanc 20% (Auchan)	111328
688	P	Fromage Blanc 3% (Delisse)	111385
689	P	Fromage Frais Nature 0% (Carrefour)	111433
690	P	Fromage Blanc Nature (Super U)	111482
691	P	Câlin (Yoplait)	111522
692	P	Fromage Blanc avec Des Fruits	111585
693	P	Câlin Nature 0% Mat.Gr. (Yoplait)	111787
694	P	Fromage Blanc Vanille 0% (Auchan)	111849
695	P	Châtaigne	111895
696	P	Marrons (Cassegrain)	111983
697	P	Crème de Marrons (Clément Faugier)	112024
698	P	Marrons Glacés (Motta)	112062
699	P	Purée de Marrons (Créaline)	112129
700	P	Marrons Entiers (Auchan)	112195
701	P	Le Fondant aux Marrons (Senoble)	112259
702	P	Clémentines	112323
703	P	Mandarine	112439
704	P	Jus de Clémentine (Cora)	112813
705	P	Jus de Clémentine (Grand Jury)	112866
706	P	Clémentines Pressées (Andros)	112928
707	P	Jus de Clémentine (Andros)	112989
708	P	Chocolat en Poudre (Banania)	113049
709	P	Pâte à Tartiner (Banania)	113110
710	P	Pâte à Tartiner (Banania)	113191
711	P	Compote de Pommes	113260
712	P	Compote Pommes sans Sucres Ajoutés (Carrefour)	113572
713	P	Compote (Andros)	113630
714	P	Compote Pomme Fraise (Andros)	113686
715	P	Compote Pomme Poire (Andros)	113725
716	P	Compote de Pommes Non Sucrée	113778
717	P	Compote Pomme Abricot (Andros)	114121
718	P	Compote Pomme sans Sucre Ajouté (Charles & Alice)	114160
719	P	Compote Allégée Pomme Banane (Leader Price)	114223
720	P	Compote Pomme Banane (Andros)	114278
721	P	Corn Flakes	114330
722	P	Bleuets (Sucrés, Congelés)	114542
723	P	Morceaux d'Ananas (Sucrés, Congelés)	114734
724	P	Beignets Sucrés ou Dorés	114913
725	P	Beignets au Chocolat Sucrés ou Dorés	115098
726	P	Bonbons au Chocolat Mi-Sucrés	115327
727	P	Bonbons au Chocolat Sucrés	115581
728	P	Bran Flakes	115699
729	P	Maïs Blanc Éclaté dans l'Huile	115825
730	P	Maïs Soufflé (Faible en Gras et en Sodium, Micro-Onde)	115956
731	P	Boisson de Soja Calcium + Vitamine D (Sojasun)	116060
